Sentiment,Text,Word Count
positive,announced investment carmaker hyundai example sound optimistically u course new car mean new tire,24
positive,finnish fiber plastic product maker suominen corporation said net loss continuing operation narrowed mln euro mln mln euro mln,39
positive,new factory working model reorganisation would decrease nokian tyre cost factory eur million usd,26
neutral,componenta also offer five year subordinated loan subscription public,14
neutral,capitex kalmar continue responsible maintenance technical development service,17
negative,operating profit declined mainly due increased cost wood recycled fiber strengthened euro,21
negative,low capacity utilisation rate steel production considerably increase fixed cost per unit steel produced,19
positive,biohit already service many current genesis customer customer base expected expand result agreement,22
positive,finnish lifting equipment maker kone oyj said october order worth mln euro mln deliver total custom designed elevator norwegian shipbuilder aker yard asa,39
neutral,total restructuring cost expected eur mn eur mn booked december,23
neutral,underground parking facility also built basement floor,12
neutral,tom doring long successful career drive business know american market,21
neutral,decision made whether group agrees import estonian meat meat product finland paper added,27
positive,omx helsinki index pct helsinki cap portfolio index pct higher,24
neutral,podcast see harple provide low gypsii platform take someone location demographic information produce contextual index world around,32
neutral,value deal estimated sek sek,13
neutral,proposed consolidation activity impact approximately position,10
neutral,addition tulikivi corporation also currently member board following company altia corporation j rvi suomen portti osuuskunta osuuskunta kpy profile vehicle oy voimatel oy,38
neutral,however broker rating stock differ,11
neutral,cut bring outdoors birch branch coaster,12
neutral,grew finland norway denmark baltic country,13
positive,besides increased share meat various sausage offering number new taste grill product shish kebab segment paavel said,32
neutral,founded finnair one world oldest airline fly destination fleet aircraft employing people,29
positive,equity ratio compared third quarter net sale frozen food business totaled eur third quarter,39
neutral,russian government contribute necessary fund said,15
neutral,company operates u division lisle ill,11
negative,measure result weak demand shipbuilding industry,11
positive,managing director kari inkinen say sponda leasing operation developed highly favourably,14
neutral,report oriola kd chief executive officer eero hautaniemi,13
neutral,november finnish energy company fortum oyj hel fum v said today partner started negotiation establish new operating model energy supply turku region western finland,36
neutral,already allocated money inventory,10
positive,omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point friday,32
positive,operating profit excluding restructuring cost grew eur million eur million operating profit including restructuring cost showed even larger growth eur million eur million,33
neutral,previously projected figure slightly lower,14
neutral,aspokem posted operating profit mln euro mln net sale mln euro mln,29
positive,company net profit amounted ee mn,20
neutral,dialing participant quote conference id,13
neutral,alexandria va march patrik flykt timo alakoski helsinki finland tapio suihko nadarajah asokan espoo finland developed method mobility support internet type protocol traffic communication system,48
positive,operating profit rose eur million,15
positive,turnover surged eur eur due increasing service demand especially third quarter overall growth business,30
neutral,finnish investment company sponda conducting negotiation acquire business center dukat palace located center moscow london regional property,28
neutral,see new post inspiring challenge,11
positive,end review period nordic aluminium order book stood eur mn compared eur,25
neutral,one headboxes equipped modern consistency control system ensure cross machine profile plasterboard company said statement received lesprom network,32
neutral,l nnen tehtaat showed loss recently started streamlining measure,16
positive,however bottom line result improved thanks positive financial item,12
neutral,huhtamaki continue invest organic growth,12
positive,customer satisfied basware invoice automation solution extends implementation new geography,19
positive,operating profit nine month period increased eur net sale increased eur compared corresponding period,30
positive,diluted earnings per share eps rose eur eur,15
neutral,according chairman michael hornborg organization merely criticised raisio weak performance,16
neutral,finnish beverage company olvi one last listed company finland yet published financial result second quarter,28
neutral,nordea cheapest also couple debt,14
negative,finland medium group talentum start personnel negotiation cut staff parent company talentum publishing unit talentum medium,23
neutral,salcomp manufacturing oy pay eur million cash salcomp connection implementation sale transfer business,26
neutral,current position manty worked since,11
neutral,incap contract manufacturing service pvt ltd subsidiary incap corporation finland acquiring manufacturing unit tv electronic ltd tumkur near bangalore r crore,35
neutral,digia also set two subsidiary digia norway digia usa inc,16
positive,original name componenta l subsidiary finnish componenta group changed l component company seen growth q comparison q,40
neutral,absolut bank exploring possibility borrowing,10
neutral,march stora enso refused comment news way,16
positive,export grew percent million liter,9
neutral,according rautaruukki company want promote use emission free energy source,16
positive,july finnish steel maker rautaruukki oyj hel rtrks ruukki said today turned net profit eur second quarter net loss eur corresponding period last year,46
positive,also said third quarter diluted eps came eur compared eur quarter year ago,25
neutral,share share capital mentioned shareholder remains,16
negative,repurchase shall decrease distributable capital reserve,10
neutral,financial detail disclosed,6
positive,martela said plan expand recycled furniture business elsewhere finland,15
positive,kalnapilio tauro grupe kalnapilis tauras group owned denmark royal unibrew raised market share percent percent beer sale nine month jumped percent million liter,43
negative,loss period totalled eur mn compared profit eur mn,19
neutral,incap estimate generate revenue mln euro mln indian operation,23
neutral,mr ashley deputy executive chairman sport direct sold pc stake company pound time float,29
negative,finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale eur mn first quarter per cent smaller corresponding period,47
neutral,company serf customer various industry including process resource industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy information technology well catering household,45
neutral,money spread mainly company said,15
neutral,corrected chapter entirety,9
neutral,okmetic used furnace contract manufacturing solar crystal,13
neutral,net sale lehdentekijat unit approximately eur million employee,19
neutral,qpr product family fully compatible microsoft window operating system,14
neutral,according statistic finnish maritime administration shipping increase much january august however,20
neutral,odd square metre plot stockmann bought nevsky center shopping center located nevsky prospect st petersburg high street next vosstaniya square underground station immediate vicinity moscow station,43
positive,pretax profit rose eur mn eur mn corresponding period,18
negative,baltimore police fire pension billion lost million madoff ponzi scheme,24
neutral,elcoteq se stock exchange announcement february eet elcoteq publish financial statement bulletin wednesday february eet,36
neutral,move carried transferring hkscan production related property plant equipment well holding subsidiary associate company country hkscan finland,34
positive,ebitda eur compared eur corresponding ebitda margin,17
neutral,lemminkainen group headquartered helsinki finland operates sector construction industry civil engineering building contracting technical building service building material industry,34
neutral,currently ten shop selling tikkurila paint kazakhstan shop opened continuously,21
neutral,combined company pro forma net sale mln euro mln operating profit mln euro mln,28
neutral,responsible operation customer relationship development,17
neutral,panostaja treat negotiating partner entrepreneur selling life work newcomer entrepreneur seeking career fairly justly according law,30
positive,adp news dec finnish construction engineering company outotec oyj omx ote v said today eur million usd order expand phosphate concentrator siilinjarvi norwegian minera,46
neutral,one headboxes equipped modern consistency control system ensure cross machine profile plasterboard,22
neutral,net sale expected remain level,14
neutral,term acquisition disclosed,8
negative,nordic bank already write sizable loan latvia swedbank nordea dnb seb reporting combined loss excess billion period backdrop near economic meltdown latvia,47
negative,service firm tietoenator bucking general trend holding flat eur slipping back earlier gain,23
neutral,alexandria va may matti harkonen pentti sipponen espoo finland osmo suovaniemi helsinki finland tapani tiusanen vantaa finland developed paper web press device,42
positive,diluted earnings per share eps rose eur eur,15
positive,israeli cable network operator hot telecom chosen teleste international technology group exclusive provider fttx equipment israel according teleste today,30
neutral,alexandria va june michael g williams newbury park calif developed network device,22
neutral,finnish fibre based material maker ahlstrom corp hel ahl v said today decided close spunlace composite production line number chirnside plant uk end march,38
neutral,sponda plc annual general meeting decided march establish shareholder nomination committee prepare proposal annual general meeting composition board director remuneration,40
positive,finnish bank land report operating profit rose eur mn second quarter eur mn corresponding period,30
negative,finnish textile clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,32
positive,proud able use kind innovative mobile service voting election,20
neutral,measure result statutory joint negotiation employee started february concerned operation country,22
negative,food trade sale amounted eur decline,17
neutral,netcom expects complete turbo g deployment area year,13
positive,strongest growth seen new market russia czech republic slovakia,18
neutral,company disclose sum applied,11
neutral,tvo two unit mw olkiluoto plant generated twh operating ratio across reactor company described high international standard,33
neutral,mill capacity produce tonne pulp per year,14
negative,union filed grievance company overtime assignment policy,13
neutral,maximum amount capital loan eur minimum subscription eur,18
neutral,according saarioinen managing director ilkka kel food industry sector significant excess production machinery,21
neutral,transaction value cad million approximately eur million,12
neutral,result enable preparation conceptual plant design capital estimate,15
neutral,following divestment fiskars outdoor unit comprise brand gerber silva buster focus multi tool knife compass mobile lighting pedometer aluminium boat,37
neutral,consisting seven interconnected unit mega image logistics center metre length metre height,23
neutral,according heikkil refreshment energy soon found soft drink also finland,23
neutral,tyrvaan sanomat published twice week tyrvaan sanomat oy appears sastamala kiikoinen,18
negative,period sale dropped eur eur according interim report released today,23
neutral,plan result introduction new highly specialized manufacturing method also entail change personnel facility,24
neutral,finland hamina cargo terminal finnish nurminen logistics purchased warehouse ground lease right port hamina,26
neutral,genvec biopharmaceutical company developing novel therapeutic drug vaccine,12
neutral,together yahoo nokia said continue deliver internet experience address core need consumer developer operator advertiser,27
neutral,westpac banking corp issue benchmark year frn deal euro,17
neutral,joint procurement later extended factory baltic country,14
neutral,combined basware enterprise purchase pay portfolio provides high level automation procurement invoice workflow,23
positive,mobile phone shipment jumped percent almost million unit finnish company global market share rose percent percent,27
neutral,order value eur mn consists design service hardware software licence,20
neutral,part development world class magnetite deposit karara known potential million metric ton annual processing magnetite estimated year life,36
positive,new office located shenzhen strengthen vaisala already year old presence china,19
positive,st petersburg oct prime ta finnish tire producer nokian tyre plan invest million euro expansion tire plant city vsevolozhsk russia leningrad region company president kim gran told reporter thursday,51
neutral,biggest challenge make piece look raw hansen said,16
positive,lietuvos respublikos sveikatos apsaugos ministerija awarded contract uab affecto lietuva financial system software package,21
neutral,total talvivaara mining company plc new share subscribed period may june company stock option right,36
neutral,acquisition sum disclosed,10
neutral,according latest information benefon launch twig device september,16
neutral,according seikku retail sector finland controlled large actor food manufacturer still relatively small,24
negative,copper lead nickel also dropped hbos hbos plummeted penny saying year,23
neutral,according gran company plan move production russia although company growing,25
neutral,canned preserved food finland report offer comprehensive guide size shape market national level,23
negative,operating margin however slipped dragged poor performance enterprise solution,23
neutral,stakeholder comptel involved workshop meeting filed comment issue greatest importance competitive sector industry,31
positive,strategic cooperation rentakran brings u new customer already working relationship authority new territory said jarmo laasanen senior manager cramo,32
positive,stockmann mastercard widened scope cooperation estonia latvia,14
neutral,service pricing detail disclosed,7
neutral,employee leaf company within duration cover money invested ensure commitment returned company,25
positive,however simdax remain available market already approved marketing authorisation submitted application country orion added,32
neutral,new chairman board director mr chaim katzman give presentation answer question,20
neutral,handset maker disclose financial detail,10
negative,scanfil system supplier contract manufacturer communication sector start personnel negotiation oulu finland lay staff temporarily,29
neutral,annual general meeting approved dividend eur per share total eur million,23
neutral,operating profit totaled eur mn net sale,13
neutral,sure happening,9
positive,staff recruited japan complement network close service location country worldwide,25
neutral,firm headquartered vantaa southern finland employee,14
neutral,rubin say expects capman announce additional transaction,13
neutral,decision reflects underutilisation line produce nonwovens used medical wipe application well automotive industry,26
neutral,latin america currently account approximately sale finnish bs os va supplier telecom operator tecnotree company president ceo eero mertano told bnamericas,30
negative,finnish food worker union sel plan hasten collective bargaining two day strike would begin april finland,27
neutral,company said result third quarter include non recurring item,16
neutral,swiss bank credit suisse international act investor locomotive manufacturing plant astana administration said,21
positive,january september group net sale continuing operation rose eur mn eur mn corresponding period,28
neutral,pharmaceutical italy brand new market analysis give clear overview actual situation future outlook pharmaceutical market italy,25
neutral,yit capital market day material available company internet site www yitgroup com investor september,23
neutral,metso delivery include complete coated board line related air system two winder,18
positive,net interest income eur mn eur mn,14
neutral,january scandinavian lender sampo bank hel samas pohjola bank hel poh svenska handelsbanken sto shb provided eur usd line credit lemminkainen oyj hel lem finnish construction firm said friday,57
neutral,order included metso fourth quarter order backlog,13
neutral,altogether capman employ approximately people helsinki stockholm copenhagen oslo moscow luxembourg,19
neutral,previously vaahto pulp supplied headboxes rectifier roll dilution control technology stora enso mill imatra eastern finland,25
negative,finnish automation solution developer cencorp corporation omx helsinki cnc v issued thursday september profit warning third quarter,29
neutral,inaugural speech given hannu kyrolainen finland ambassador czech republic,18
neutral,choose basware tool financial service seemed like natural continuation cooperation say tommi leskinen financial application manager neste oil corporation,32
negative,omx helsinki index pct lower omx helsinki cap portfolio index pct,25
neutral,subscribe magazine,7
positive,company said started investigate streamlining operation order meet tightening competition mobile phone charger market,26
positive,ruukki experience logistics construction competence project management also best reference term steel frame production installation say onodi stefan general manager arxikon construction company srl ruukki customer,46
neutral,change envisaged hk ruokatalo would reduce number industrial place business finland eight six,23
positive,operating profit totaled eur mn slightly eur mn corresponding period,20
neutral,upm kymmene www upm kymmene com produce magazine paper newsprint well fine specialty paper converting material wood product,22
neutral,result transaction sanoma budapest acquired stake online store egeszsegbolt,19
negative,korhonen dismissed post editor chief group newspaper lapin kansa december,21
neutral,ship crane manufactured macgregor partner plant china delivered vessel ordered chinese cosco german peter dohle hong kong based cido shipping,38
neutral,employer employee talk concerned people whole staff finland,17
neutral,non recurring item eur mn profit amounted eur mn,13
positive,nordea group operating profit increased percent year year billion euro total revenue percent billion euro,27
neutral,member hk ruokatalo group finland scan launching joint venture slaughterhouse team ugglarp sk ne southern sweden,26
neutral,unit planned operational second half full stream,20
neutral,continued operation mean structure restructuring aspocomp group including aspocomp oulu headquarter operation,21
neutral,first phase logistics complex envisages completion sq logistics premise gatehouse building november,26
neutral,point separate company name palmberg tekmanni lemcon forssan betoni suonenjoen betonituote among others disappear,31
negative,consolidated operating profit continuing operation decreased eur mn eur mn,21
positive,company enhance gprs capability existing idea telecom service area add service area network,25
positive,q consolidated earnings tax totaled eur compared eur net profit eur compared eur previous year,37
neutral,impact cableway teleste net sale estimated eur million,19
negative,layoff finland,9
positive,net sale expected,14
neutral,moody said gave p long term senior unsecured p p short term debt rating finnish lender aktia bank eur bn usd bn euro medium term note emtn program march,37
neutral,aldata help retailer ensure merchandising selection reflect customer demand evolving shopping behavior,23
neutral,according pietinalho doctor motivate patient smoke every time visit doctor,18
positive,program target structural cost reduction eur mn,15
neutral,financial detail reported,6
positive,operating profit rose mln eur mln,11
positive,aim annual improvement ruukki construction operating profit eur million usd starting,25
positive,fourth quarter atrium net loss shrank eur million eur million net sale contracted eur million eur million,33
positive,thanks multiplying effect wagon performance transport much efficient say development manager juha malkia vr cargo,26
neutral,note client published dutch broker described company third quarter result soft although also noted elcoteq retained guidance dealer said,35
neutral,number class share remains unchanged share,12
positive,looking forward contribute srv success competence say taneli hassinen,19
neutral,financial statement interim report released around finnish time given date,22
neutral,value contract total usd,10
neutral,bank also examining benefit transferring swedish business operate branch office operation would governed finland law,30
neutral,bm middle layer headbox equipped dilution control system,13
negative,operating profit month period decreased eur net sale increased eur compared,25
neutral,featuring user interface gram model also come inch quarter vga display megabyte internal memory expandable micro secure digital slot,32
neutral,teleste hybrid tv solution includes component whole process delivering video service consumer content acquisition service creation delivery range access solution including hfc hybrid fibre coaxial xdsl etth ftth,46
positive,net sale increased eur eur pretax profit rose eur eur usd,28
neutral,net sale totalled eur million operating margin,17
neutral,around percent world ro ro fleet year old need scrapped environmental reason,23
neutral,alexandria va oct markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland developed system providing communication security,44
negative,salcomp oyj finnish maker mobile phone charger monday posted eur million loss second quarter compared million profit period previous year,36
neutral,cash flow operating activity investment eur million,14
positive,telenor three half year contract worth estimated yit chosen telenor elisa principal supplier ict solution norway sweden denmark finland,38
neutral,preliminary estimate hotel operate brand novotel,13
positive,company estimate net sale increase considerably operating result clearly positive,23
neutral,program started summer originally estimated last approximately two year,21
neutral,elsewhere tendency towards developed packaging,12
neutral,company said share holding company sold meadville holding limited hong kong listed parent company meadville group,32
neutral,secondary antenna also used reception high power signal radar calibrate transmission channel radar,27
neutral,world leader developing uv technology municipal wastewater drinking water industrial water treatment system trojan technology logical partner providing w rtsil uv technology ballast water treatment,38
positive,ramirent leading company machinery equipment rental construction industry,15
neutral,purchase pay solution enable company gain visibility control business critical financial process,17
positive,helsingin uutiset vantaan sanomat lansivayla reach reader consumer greater helsinki region,26
neutral,short term license game cost little purchasing game outright cost much,27
positive,tectia corporation hel tec v provider real time security solution today announced appointed lan lan provider service uk distribute data security manage file transfer software,41
neutral,capman four investment area capman buyout capman technology capman life science capman real estate dedicated team,30
neutral,second quarter net sale operator business partner represented group total net sale,24
neutral,event also viewed live audio webcast www ahlstrom com,14
negative,group order portfolio decreased eur mn eur mn,19
neutral,cargotec share capital increase total eur,11
positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew year year eur ceo sakari tamminen said,30
negative,operating loss totalled eur mn compared loss eur mn corresponding period,22
neutral,nordea bank ab publ hold alma medium share representing share capital voting right,20
neutral,dollar bounced back hitting another record low euro reached first time,22
neutral,production plant based neste oil proprietary technology use flexible input vegetable oil animal fat,27
neutral,company expects meat purchase remain mn kilo,14
neutral,laavainen said benecol well known europe u market year,23
neutral,weber convinced friend ray ostrom owned lake street sporting good store sell lure,21
neutral,price talk euribor plus bps area sole lead citigroup,17
neutral,pharmaceutical market czech republic global research data service published recently market analysis pharmaceutical market czech republic,23
neutral,stage maximum tulikivi series share acquired representing per cent company share outstanding,29
positive,finnish silicon wafer manufacturer okmetic oyj said swung net profit mln euro mln first nine month net loss mln euro mln year earlier,42
neutral,ahms also offer hotel hotel project consultancy management service brand franchise training sale marketing service pan india basis,27
neutral,also process taking seat capman board course support capman management,25
negative,currently company foresees pre tax profit remain level reached eur usd compared previous projection slightly better pre tax profit,33
neutral,lay foundation sustainable business development long term,13
neutral,dopplr dopplr service smart traveller,10
negative,comptel slipped net loss eur profit eur previous year,25
neutral,capman said deal effect cash flow total eur transaction would affect financial result executed fair value,36
neutral,measure taken cause one time cost final part,14
neutral,wife looking forward getting paycheck quipped recently six knot current swirled around anchored heavily sponsored jet sled,30
neutral,ism disclose financial result daily said,12
neutral,upm biggest producer magazine paper europe market share pct likely say price segment best flat quarter analyst said,42
neutral,group business balanced broad portfolio sport presence major market,19
negative,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,36
positive,helsinki thomson financial real said exercise option buy mw natural gas power plant land kyroskoski finland around mln eur kyro oyj,37
positive,financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek per share,40
positive,pleased fine co operation two country recent time said,19
neutral,founded quatrocon clientele consists public sector builder central trading company major construction firm,21
positive,respondent praised finnair reliability finnishness understanding target group,16
neutral,new company diapol r l would manufacture tool meant glass stone pre processing,17
neutral,recently company decided build second identical plant site due commissioned toward end,24
positive,cooper sh uk distributor lift equipment manufacturer konecranes five year deal involves low maintenance fuel saving technology,25
positive,total delivery volume paper business tonne tonne,20
positive,dutch broker noted nokian tyre reported good first quarter line consensus,22
neutral,stora enso receive pct equity interest combined company,14
neutral,nurminen logistics provides high quality logistics service railway transport terminal service forwarding special heavy transport medical transport,25
neutral,finnish neste oil previously list fallen list completely,17
positive,total operating revenue grew year year eur,11
negative,finland finnish pharmaceutical company orion corporation omx helsinki ornav said wednesday january concluded personnel negotiation finland reduce number personnel,35
neutral,trade accordance agreement announced march,14
neutral,past year factory produced many nokia popular model including nokia nokia well nokia latest music device nokia express music,38
neutral,elite residence tower new development tameer located heart dubai marina,19
neutral,reproduction distribution prohibited,8
negative,also cut price projection paper packaging analyst goldman sachs said note monday,25
positive,cision say sale return u k operation profitability,12
negative,finnish shipping company finnlines pretax loss totalled eur mn third quarter compared profit eur mn third quarter,33
neutral,merging two free sheet clarify market situation,11
neutral,currently global fortune company using ssh security solution,15
neutral,addition kazakh delegation visit finland sitra investment fund honkarakenne ltd nokia headquarters study teliasonera ltd jsc activity,27
neutral,steve jackson ebusiness analyst satama former ceo aboavista said google broke mold gave away google analytics free,28
positive,earnings per share quarter also higher year year eur versus market expectation eur,24
neutral,feed company suomen rehu raisio import gmo feed,12
neutral,confirmed view july,8
neutral,company design manufacture market advanced composite product industrial application consumer good cross country alpine nordic walking pole floorball stick antenna radome,32
neutral,kemira recorded revenue approximately eur billion staff,18
neutral,largest construction company finland yit corporation acquire share slovak construction company reding bratislava,26
neutral,estimation indicate even different tablet computer reading device available,19
neutral,april cencorp employee territory,15
neutral,ntsb said investigator set conduct sight distance test july using train similar involved accident,25
neutral,sale comprising margarine business finland poland follows approval polish competition authority earlier october,24
negative,qualcomm estimated first quarter profit cent share excluding certain item analyst estimate cent share,27
positive,skf april alandsbanken given buy recommendation swedish industrial company skf ab sto skf b share price target sek,33
neutral,tip week panfish like bluegill great fun catch especially child new fishing,20
neutral,rushydro agreement transfer stake oesk five ercs trust management inter rao,22
negative,samsung currently occupies third place lost ground quarter dropping share overall,23
positive,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,34
neutral,new unit major investment finnish medium scene,14
neutral,fcc chairman kevin martin said fair play required extending deregulatory rule digital subscriber line telecom provider use broadband network,27
neutral,filmiteollisuus fine ab transferred talentum oyj form subsidiary,16
neutral,assa abloy kaupthing bank gave neutral recommendation share price target crown euro swedish lock maker assa abloy ab,31
neutral,transaction includes u billion euro billion cash vendor note share purchase expected completed first quarter finnish swedish paper maker said,37
neutral,mr skogster currently serf manager responsible abb oy system module low voltage drive,19
positive,world second largest stainless steel maker said net profit three month period dec surged euro million u million euro u per share euro million euro per share previous year,48
neutral,geosolutions team provides intriguing new technology combining gps mobile based technology together internet based social networking,20
neutral,total size complex around project constructed stage,19
positive,swiss franc surged record euro reported sharpest gain manufacturing march,17
neutral,company operates power plant tyumen chelyabinsk region khanty mansi autonomous district,18
negative,bad news barbeque season,9
neutral,basic banking activity continued normal,7
negative,according arokarhu purchase scanned cash register computer disappeared total sum key pressed,26
neutral,member board numerous com panies shareholder boardman ltd board specialist net work,21
positive,company anticipates turnover whole surpass previous year eur million,23
neutral,group owns operates fleet dwt container capacity teus manages diversified fleet railway rolling stock unit,35
neutral,building owner developer sun hung kai property group one largest property company hong kong developing type premium residential commercial project sale investment,37
neutral,odell contacted state finland issue,12
negative,operating profit nine month period decreased eur net sale increased eur compared corresponding period,29
positive,commencing construction work pearl plaza significant step russian project,16
positive,acquisition elektros pavara completes kone market expansion strategy baltic country,17
neutral,total value agreement usd company said,15
neutral,comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major medium comptel dynamic os solution enable telecom service provider deliver service flexibly charge effectively,32
negative,result also burdened increased fixed cost associated operation china restructuring cost japan,22
neutral,raw material come europe u paid euro u dollar sale take place ruble,27
neutral,eero katajavuori currently group vice president human resource take year long sabbatical starting october,23
neutral,marubeni participated ghg green house gas emission reduction project overseas obtained emission credit project provided japanese client,29
positive,company committed expanding apollo portfolio,11
neutral,huhtamaki oyj stock exchange release huhtamaki oyj resolved clarify group structure separating foodservice consumer good business production unit hameenlinna finland transferring business wholly owned subsidiary,43
positive,passenger related revenue rose eur mn eur mn,17
positive,announced restructuring significantly decrease company indebtedness,11
negative,company said sale three month end march slid eur u eur last year,29
neutral,tower engineer created degree westward lean four time inclination leaning tower pisa using diagrid structure aligned geometrically using tekla structure bim building information modeling software,41
neutral,web marela application handle invitation quote quote comparison agreement purchase invoice inspection inventory management delivery,24
neutral,addition existing service counter area reception hall rebuilt access provided local rail connection,23
neutral,real said ground rumor circulating market month,25
neutral,february new wording identity document act make mobile id state approved electronic document february st entered force,27
neutral,proposal board director issuance option right otherwise correspond proposal board director notice general meeting,32
neutral,f secure reported first half seen growing number targeted malware attack individual company organization,27
neutral,international operation accounted net sale,11
positive,lidskoe pivo investment program foresees integrated modernization production updating transport logistics infrastructure developing new marketing instrument mikshis said,28
positive,ruukki signed contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,24
neutral,center built kapuli district mantsala beside hanko mantsala porvoo road near new direct rail link lahti jarvenpaa,26
neutral,olli pekka laine appointed chairman erkki pehu lehtonen vice chairman board,19
neutral,finnish food industry company interested opportunity provided ukraine,13
neutral,market expect heineken sell hartwall whole part,14
neutral,solution extension existing online mediation solution delivered earlier comptel ibm,18
neutral,new apartment block going close city center explained chairman board yit ehitus priit sauk,26
